,Machine_Learning_jobs,Company,Job_links,Date,Describtion
17,Community Manager,udacity,https://www.bayt.com/en/egypt/jobs/community-manager-66320642/,5 days ago,"Udacity is on a mission to change lives, businesses and nations through radical talent transformation in digital technologies.&nbsp; We offer a unique and immersive online learning platform, powering corporate technical training in fields such as Artificial Intelligence, Machine Learning, Data Science, Autonomous Systems, Cloud Computing and more. Our rapidly growing global organization is revolutionizing how the enterprise market bridges the talent shortage and skills gaps during their digital transformation journey. Udacity is proud to be backed by respected investors like Andreessen Horowitz, Charles River Ventures, Bertelsmann and Drive Capital, among other leading VC firms, and provides a powerful and differentiated solution inside of a $32b total addressable market opportunity. Udacity has more than 100 enterprise customers including Airbus, Bertelsmann, BNP Paribas, Leidos, Mazda, and the United States Air Force.&nbsp;At Udacity, our students come first. As a Community Manager, you will coordinate between our students, services and product teams, and Udacity Mentors to ensure student success. You will work with our Learning Team to scale the student community to ensure high engagement, satisfaction, and success rates for our Nanodegree programs. You will organize in-person and online events, spearhead experiments to boost activity in our community and our classroom, lead studies to learn about our students’ needs and experiences, and strategize about how to best facilitate our students helping one another. If you are solution-driven, people-focused, and looking for an opportunity to make an impact, we are looking for you.&nbsp;Responsibilities:&nbsp; Be a strong advocate for Udacity students and the company vision&nbsp; Develop and manage all aspects of community relationships with students and course mentors and serve as the main point of contact&nbsp; Engage the community of students in online community platforms and in online and in-person events that will benefit their learning&nbsp; Strategize about how to grow communities to meet students’ needs, in accordance with a deep understanding of their backgrounds, goals, and Nanodegree experience&nbsp; Communicate project developments and draft strategic recommendations on a regular basis&nbsp; Work with learning experts to leverage the community in creating solutions that address student learning challenges Collaborate with product and learning experts to iterate on our student experience to improve engagement and progress Execute projects and deliver results within scope, time, budget, and react quickly to changing student needs Possess in-depth knowledge of a program’s logistics and content&nbsp;Requirements:&nbsp; 3-5 years of experience in building Communities, ideally related to EdTech, traditional education, or professional training Stellar writing, communication, and presentation skills&nbsp; Excited about marketing innovations and life learner&nbsp; Ability to work efficiently, independently, and in collaboration with other teams&nbsp; Flexibility in using or learning to use different methods for tracking and conveying information, such as Slack, discourse, Zendesk, forums, chat programs, and email marketing software SendGrid and blueshift&nbsp; Experience with live streams and in-person events&nbsp; Excellent organizational skills and ability to meet deadlines&nbsp; Ability to show clear engagement data for community channels&nbsp; A strong team player who enjoys collaborating, asking for help when necessary, and getting things done Help in setting up new community services and interventions&nbsp; Monitor projects and activities implemented in accordance with the team’s goals&nbsp; Develop and evaluate methods to assess and report the program’s strengths/weaknesses and identify areas for improvement&nbsp; Work cross-functionally with Product, Career, Operations, and Learning Experience teams to iterate on the student experience to improve engagement and progress&nbsp; Cultivate and grow online relationships with and between students while working in multiple community workspaces and platforms simultaneous&nbsp;Udacity is proud to be an Equal Employment Opportunity employer. We believe that the unique contributions of all Udacians are the driver of our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experiences we never discriminate on the basis of regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. &nbsp;Learn more about Udacity's Values&nbsp;Students First - Better Together - Entrepreneurial - Data Driven - Candid and Direct - Talent ObsessedUdacity is committed to creating economic empowerment and a more diverse and equitable world. To ensure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, color, religion, sex, gender, gender identity or expression, sexual orientation, marital status, national origin, ancestry, disability, medical condition (including genetic information), age, veteran status or military status, denial of pregnancy disability leave or reasonable accommodation.&nbsp;Udacity's Terms of Use and Privacy Policy"
18,Senior Solution Architect,Ericsson,https://www.bayt.com/en/egypt/jobs/senior-solution-architect-66320376/,5 days ago," About this opportunity We are now looking for a Senior Backend Architect to develop innovative microservices-based applications. Your role will include all software development activities related to microservices development. Our focus is on test-driven development based on lean and agile ways of working. We are organized in multi-functional multi-domain development teams in which we foster continuous improvement, innovation, and knowledge sharing. What you will do Analyze requirements for cloud-native microservices Drive application design and architecture Design, develop, deploy microservices-based applications into cloud infrastructures Apply test-driven development approach Maintain software and support life-cycle-management of microservices & Machine Learning components through CI/CD Support product & security documentation  You will bring Minimum 6 years of proven experience in the cloud development environment.  Deep technical knowledge:Deep experience in Python programming Deep understanding and experience in building microservices-based applications Experience in test-driven development and CI/CD Experience in sqlAlchemy, Alembic, REST, Microservices, Dockers, Kubernetes, SQL Experience in machine learning,Django and moderate flask experience. Experience in workflow management such as PREFECT/ARGO Experience in Agile software development methodologies Experience in cloud computing platforms namely AWS/GCP/Azure, etc. is an add on Experience with pub/subsystems is a plus – eg Kafka, RabbitMQ A deep understanding of ML DevOps is a plus  Non-technical skills:Proactive & team player Excellent oral and written communication skills Excellent problem-solving and troubleshooting skills  Note - We have 2 open positions for this role What´s in it for you? Here at Ericsson, our culture is built on over a century of courageous decisions. With us, you will no longer be dreaming of what the future holds – you will be redefining it. You won’t develop for the status quo but will build what replaces it. Joining us is a way to move your career in any direction you want; with hundreds of career opportunities in locations all over the world, in a place where co-creation and collaboration are embedded into the walls. You will find yourself in a speak-up environment where empathy and humanness serve as cornerstones for how we work, and where work-life balance is a priority. Welcome to an inclusive, global company where your opportunity to make an impact is endless. What happens once you apply? To prepare yourself for next steps, please explore here: https://www.ericsson.com/en/careers/job-opportunities/hiring-process  Encouraging a diverse and inclusive organization is core to our values at Ericsson, that's why we nurture it in everything we do. We truly believe that by collaborating with people with different experiences we drive innovation, which is essential for our future growth. We encourage people from all backgrounds to apply and realize their full potential as part of our Ericsson team.Ericsson is proud to be an Equal Opportunity and Affirmative Action employer, learn more.Primary country and city:  Egypt (EG)   ||  Egypt : Cairo : Cairo   Req ID: 696713  "
19,Program Operations Associate,udacity,https://www.bayt.com/en/egypt/jobs/program-operations-associate-66320880/,5 days ago,"Udacity is on a mission to change lives, businesses and nations through radical talent transformation in digital technologies.&nbsp; We offer a unique and immersive online learning platform, powering corporate technical training in fields such as Artificial Intelligence, Machine Learning, Data Science, Autonomous Systems, Cloud Computing and more. Our rapidly growing global organization is revolutionizing how the enterprise market bridges the talent shortage and skills gaps during their digital transformation journey. Udacity is proud to be backed by respected investors like Andreessen Horowitz, Charles River Ventures, Bertelsmann and Drive Capital, among other leading VC firms, and provides a powerful and differentiated solution inside of a $32b total addressable market opportunity. Udacity has more than 100 enterprise customers including Airbus, Bertelsmann, BNP Paribas, Leidos, Mazda, and the United States Air Force.&nbsp;Udacity is looking for people to join our Program Operations team. If you love a challenge, and truly want to make a difference in the world, read on! In this position, you will be part of the Global Program Operations team, managing and handling the operations of the global programs and all students enrolled in these programs.&nbsp;Responsibilities:&nbsp; Manage the operations for large projects globally.&nbsp; Manage the process of applications, admissions, filtration, and enrollment of students to Udacity programs&nbsp; Work closely with the Product Team to set our tools up for scalability and to identify any areas of improvements&nbsp; Work with Udacity internal tools to facilitate the operations and tasks&nbsp; Identify the key-blockers and challenges in the current operations &amp; internal tools, and participate in the improvement plan&nbsp; Liaise between internal and external stakeholders at key milestones to deliver strong program outcomes&nbsp; Meet quarterly and annual targets for operations and enhancements&nbsp; Nurture and maintain relationships with integrity and professionalism ● Participate in the planning, executing, and monitoring students’ programs to satisfy the students’ and the stakeholders’ objectivesWhat We Value:&nbsp; 2+ years experience in end-to-end Operations Management, and Stakeholders Management&nbsp; Ability to work and execute operations as per a proposed timeline&nbsp; Proven track record managing complex projects with multiple stakeholders across geographies&nbsp; Ability to handle mid to senior-level stakeholders&nbsp; Ability to quickly identify and influence decision-makers&nbsp; Very good experience with Data Manipulation (e.g. using Google Sheets/ Excel functions - pivot tables, query, Vlookup - )&nbsp; Familiarity with Google Suites and Microsoft Office&nbsp; Liaise between internal and external stakeholders at key milestones to deliver strong program outcomes&nbsp; Ability to work efficiently, independently, and in collaboration with other teams. ● Knowledge of Tableau software is a plus&nbsp;Consider applying if your experience is close to what we described above. We look for people with exceptional potential, as we know highest performing teams include people of diverse backgrounds, perspectives, and life experiences.&nbsp;Udacity is proud to be an Equal Employment Opportunity employer. We believe that the unique contributions of all Udacians is the driver of our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate on the basis of regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.&nbsp;Learn more about Udacity's Values&nbsp;Students First - Better Together - Entrepreneurial - Data Driven - Candid and Direct - Talent ObsessedUdacity is committed to creating economic empowerment and a more diverse and equitable world. To ensure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, color, religion, sex, gender, gender identity or expression, sexual orientation, marital status, national origin, ancestry, disability, medical condition (including genetic information), age, veteran status or military status, denial of pregnancy disability leave or reasonable accommodation.&nbsp;Udacity's Terms of Use and Privacy Policy"
20,"ETIC, BI Engineer - Manager(Egypt) PwC",Consultancy,https://www.bayt.com/en/egypt/jobs/etic-bi-engineer-manager-egypt-pwc-66340403/,2 days ago,"Firm Location Cairo Education Benefits Competive About the RoleYou’ll be joining our Data engineering, Reporting and Analytics practice, a core part of our Technology, Data & Analytics business unit. We support our clients in delivering a variety of transformation projects across the commercial sector from defining data strategies to helping architect, design and implement modern data and analytics solutions using the latest cloud technologies. The role will provide you with an opportunity to work across a portfolio of clients, with a focus on large and complex organisations. You will work in the team that reports to the Data Analytics delivery service leadership team and will be an integral part of the team based in Cairo, as well as those delivering client transformation programmes across the PwC Global Network, including the UK, Germany and Middle East. ● 7+ years of hands on experience of data analytics, visualisation and BI solutions ● Professional experience of data analytics project life cycles with proven experience in managing and delivering end to end projects ● Ability to manage team members on technical programmes and coach ‘best practice’ use of relevant D&A tools As a Data Analytics & Reporting Manager, your responsibilities will include:● Overseeing the design and delivery of data transformation projects with clients. This will include: ● Translating business requirements into technical specifications, helping to understand and create solutions to our clients key challenges. ● Supporting in end-to-end planning, coordination and oversight of the project lifecycle including resourcing, scoping, architecting and delivery. ● Participate in client relationships including with C-level staff, Heads of Data and Analytics, IT and Data Architects and other business stakeholders during the lifecycle of a project. ● Participate in supporting clients in developing their future plans and strategies for data. ● Engage in collaborating with our wider Technology, Data and Analytics teams across the firm, whether that be locally or working with our alternative delivery teams (onshore and offshore). ● Taking an active role in coaching and developing skills in the team. ● Participate in leading initiatives to grow our business through the creation of new innovative solutions and propositions as well as relevant thought leadership. ● Promoting opportunities to enhance, disrupt and improve the way we work through the use of technology. ● Working to increase awareness of our Technology, Data & Analytics capabilities across our business and collaborating with a varied set of teams within the firm. Data processing, reporting and visualisation:● Analysis of business functionality and needs, translating them into technical requirements and solution designs ● Ability to design and implement data models from concept through to reality, which could include slowly changing dimensions or single customer views ● Creation of relational data models based on reporting requirements and raw base data ● Designing optimised and well functioning business intelligence solutions for different business purposes (preferably Power BI but will consider other visualisation tools) ● Standard approaches for data cleansing and ensuring data quality ● Identification and definition of rules within an ETL process to harmonise, aggregate, filter and transform data so that it can be used for defined reporting goals ● Principles of information design to optimise information processing by readers/viewers Analytics:● Strong business acumen in relation to analytics, having had experience within at least one business area function (e.g marketing, sales, finance, workforce, procurement etc.) ● Extensive experience in handling large, complex datasets ● Passionate about analytics and insight, including staying up-to-date with the latest trends and technologies ● Strong understanding of machine learning techniques and algorithms or decision science domains (eg. clustering, decision trees, logistic regression, basket analysis, optimisation, simulation) to deliver rapid business insight ● Proven programming experience in one of Python, R, Go, SQL or similar ● Proven experience using Excel D&A consulting:● Exceptional analytical ability and are able to solve unstructured problems involving large amounts of quantitative data with a structured and hypothesis driven approach ● Experience in adapting your communication style to help translate complex technical information to audiences unfamiliar with the technologies ● Ability to tell a compelling story with data in written reports and deliverables for our clients ● Ability to learn and understand new technologies, techniques and tools Project skills:● Delivery of proof of concept or operational solutions through the entire lifecycle from data sourcing to results. This includes assessing modelling needs based on client’s situation and recommend the best advanced analytics tools and methods to support them ● Ability to deliver solutions under tight timeframes, while proactively addressing and managing issues ● Experience in shaping and planning projects through either Waterfall or Agile methodologies ● Experience using Agile project management tools (DevOps, Trello, JIRA, Kanbanchi etc.) ● Experienced in managing multiple analytics projects from ideation through to benefits realisation from a technical perspective. Commercial Skills:● Ability to manage projects to budget, deal with change requests and have commercial discussions with clients, inspiring others to solve problems, under pressure, end-to-end with data ● Ability to align pragmatic analytical solutions to complex business problems. ● Experience in defining and managing benefits cases for analytics solutions. ● Demonstrating commercial curiosity - understand a business area and its strategic outcomes, the business processes and metrics that drive performance ● Experience in owning client relationships and managing them throughout the engagement lifecycle ● Supporting senior management to identify opportunities to embed advanced data and analytics use cases in wider business transformation proposition Education● University Degree, in computer science/engineering, business analytics, information systems, statistics, mathematics or other related disciplines preferrably ● Microsoft Power BI Certification is needed ● Tableau Certification is a plus ● Open Group Certified Architect - Data is a plus ● Celonis certification is a plus ● Alteryx Certification is a plus Education(if blank, degree and/or field of study not specified)Job informationFirm: Location: CairoEducation:"
21,Big Data Developer (Cairo / Beirut / Kochi / Karachi),Path Solutions,https://www.bayt.com/en/egypt/jobs/big-data-developer-cairo-beirut-kochi-karachi-66349839/,2 days ago," Duties & Responsibilities:Specify, design, implement, test, and maintain platform-independent, complex software system components and applications Duties involve working on existing source code to incorporate new features; ensure that the piece of code written is bug-free Work under direct supervision with assigned team, on project components, and develop and modify existing source code Duties also involve working on, or integrating with other system product components and applications Work to fix bugs and conduct unit testing, make necessary changes to source code and document them Ensure that Path Solutions’ development standards & QMS are followed Design and implement algorithms for assigned tasks Execute development assignments to include design of conceptual approach, coding and debugging Determine the time estimates and work plan necessary to achieve the goals for building, testing and maintaining quality software to general specification Communicate information directly and clearly. Check for clarity and understanding during a conversation using active feedback, reflection, and other communication techniques Facilitate and moderate issue identification and resolution. Identify, communicate and resolve conflicts with the individuals involved. Required Skills & Qualifications:B.Sc. in Computer Science or equivalent Familiar with the Hadoop ecosystem, specifically Sqoop, Flume, Oozie Knowledgeable in Hadoop administration Experienced in working with Spark Experienced in Python statistical modelling techniques and Python libraries Programming using Python or Scala Experienced programmer in Java and rest APIs Familiar with UNIX shell commands Familiar with Microsoft Azure and/or Hortonworks Data Platfom Machine Learning Algorithms is a plus Statistical expertise (statistical tests, T-test, F-test, Profiling techniques, etc.) Proficiency in English is a must. "
22,Big Data Developer (Cairo / Beirut / Kochi / Karachi),Path Solutions,https://www.bayt.com/en/egypt/jobs/big-data-developer-cairo-beirut-kochi-karachi-66337651/,2 days ago," Duties & Responsibilities:Specify, design, implement, test, and maintain platform-independent, complex software system components and applications Duties involve working on existing source code to incorporate new features; ensure that the piece of code written is bug-free Work under direct supervision with assigned team, on project components, and develop and modify existing source code Duties also involve working on, or integrating with other system product components and applications Work to fix bugs and conduct unit testing, make necessary changes to source code and document them Ensure that Path Solutions’ development standards & QMS are followed Design and implement algorithms for assigned tasks Execute development assignments to include design of conceptual approach, coding and debugging Determine the time estimates and work plan necessary to achieve the goals for building, testing and maintaining quality software to general specification Communicate information directly and clearly. Check for clarity and understanding during a conversation using active feedback, reflection, and other communication techniques Facilitate and moderate issue identification and resolution. Identify, communicate and resolve conflicts with the individuals involved. Required Skills & Qualifications:B.Sc. in Computer Science or equivalent Familiar with the Hadoop ecosystem, specifically Sqoop, Flume, Oozie Knowledgeable in Hadoop administration Experienced in working with Spark Experienced in Python statistical modelling techniques and Python libraries Programming using Python or Scala Experienced programmer in Java and rest APIs Familiar with UNIX shell commands Familiar with Microsoft Azure and/or Hortonworks Data Platfom Machine Learning Algorithms is a plus Statistical expertise (statistical tests, T-test, F-test, Profiling techniques, etc.) Proficiency in English is a must. "
23,Plasma Material Handling Associate Operator (Egypt),Grifols,https://www.bayt.com/en/egypt/jobs/plasma-material-handling-associate-operator-egypt-66327729/,5 days ago," Plasma Material Handling Associate Operator (Egypt)Location: Egypt, EG Contract Type: Regular Full-Time Area: Nursing/Healthcare Req Id: 455987 Job Objective:The Plasma Material Handling Associate Operator continually handles and moves boxes and pallets, both manually and with handling equipment, of plasma and plasma fractions often times in refrigerated areas and in freezers with temperatures of -30c or colder. The work must be done with care, precision, and timeliness to maintain accurate inventory, to avoid breakage of material, and to support other logistics operations that depend on material movements.Environemnt:Internal: Quality, operations, Grifols Egypt for Plasma Derivatives plasma general management. External: service providers, Health Authorities and auditors Responsbilities:● Loading and unloading of pallets/cases of plasma and plasma fractions from/to delivery trucks. ● Separates and identifies various types of plasma and plasma from various sources. ● Using manual and/or powered handling equipment, moves cases and pallets of plasma and plasma fractions to various stations within the logistics center.● familiar with safety measure and able to perform his job while wearing protective gears. ● Maintains active communication with other service areas to ensure accurate documentation and quality. ● Completes all necessary documentation. ● Learns and maintains thorough familiarity and compliance with Standard Operating Procedure Manual, Current Good Manufacturing Practice (cGMP) and internal company procedures. ● Maintains supplies necessary to perform job duties.● able to use manual and automated shrink-wrap machine.● Reports all unsafe working situations or conditions to area lead, supervisor or manager.Academic Requirments:High School Diploma, technical institutes or equivalent.Professional Experience:Familiarity with cGMPs and warehouse operations, cold Storage preferred. Forklift operation and/or certification highly desirable. Computer Skills:Ability to use bar code scanners and basic computer skills desirable. Personal Skills:● Communication and customer service skills. ● Organized and able to manage time effectively. ● Ability to work within a highly regulated, labor intensive, fast paced warehouse environment. ● Ability to understand and follow SOP’s and protocols Language:Written and spoken English and Arabic.#LI-LS1 Location: EMEA : Egypt : Egypt :EGELTAHR - El-Tahrir Rd, 6th of October"
24,Devops Engineer Internship,Atomica,https://www.bayt.com/en/egypt/jobs/devops-engineer-internship-66327790/,5 days ago,"Devops Engineer Internship- Zamalek, CairoDevops Engineer Internship- Zamalek, CairoPosted 10 hours ago 16Applicants for 1 open position  0Viewed 0In Consideration  0Not Selected Experience Needed: Not Specified Education Level: Not Specified Internship DetailsCareer Level: Entry Level (Junior Level / Fresh Grad) Salary: 1500 to 2500 EGP Per Month Job Categories: Skills And Tools:Internship DescriptionJob Description: Perform updates and configuration changes to our infrastructure as requested by the software development teams Participate in monitoring and maintenance of our current production infrastructure. Research and experiment with new technologies that can improve day to day operations Help troubleshoot issues, develop tools, and maintain our infrastructure.The intern will learn:Application Deadline: Internship Start date:Immediately Duration: 3 MonthsInternship Requirements Understanding of how web applications work at a high level Understands the concepts of DHCP, DNS, NAT, and Firewalls Familiar with installing and configuring Linux Familiar with configuring and using virtual machines Familar with IaaS/PaaS/SaaS development environments (e.g. Amazon AWS)  Familiar with Container Technologies: Docker, Kubernetes Familiar with Securing Web applications (Reverse proxies, firewalls, e.g. Couldflare etc.) * Familiarity with version control concepts (Git)"
25,Devops Engineer Internship,Unionengineering,https://www.bayt.com/en/egypt/jobs/devops-engineer-internship-66315272/,6 days ago,"Devops Engineer Internship- Zamalek, CairoDevops Engineer Internship- Zamalek, CairoPosted 2 hours ago 6Applicants for 1 open position  0Viewed 0In Consideration  0Not Selected Experience Needed: Not Specified Education Level: Not Specified Internship DetailsCareer Level: Entry Level (Junior Level / Fresh Grad) Salary: 1500 to 2500 EGP Per Month Job Categories: Skills And Tools:Internship DescriptionJob Description: Perform updates and configuration changes to our infrastructure as requested by the software development teams Participate in monitoring and maintenance of our current production infrastructure. Research and experiment with new technologies that can improve day to day operations Help troubleshoot issues, develop tools, and maintain our infrastructure.The intern will learn:Application Deadline: Internship Start date:Immediately Duration: 3 MonthsInternship Requirements Understanding of how web applications work at a high level Understands the concepts of DHCP, DNS, NAT, and Firewalls Familiar with installing and configuring Linux Familiar with configuring and using virtual machines Familar with IaaS/PaaS/SaaS development environments (e.g. Amazon AWS)  Familiar with Container Technologies: Docker, Kubernetes Familiar with Securing Web applications (Reverse proxies, firewalls, e.g. Couldflare etc.) * Familiarity with version control concepts (Git)"
26,AI Engineer,PaxeraHealth Corp,https://www.bayt.com/en/egypt/jobs/ai-engineer-66259608/,14 days ago,"PaxeraHealth is one of the best and brightest medical solutions companies to work for. We develop technologies that help manage millions of medical images every month. We didn’t become a global leader by sitting on the sidelines. We’re actively involved in shaping the industry and transforming technologies so radiologists and clinicians have what they need to help their patients move forward with life. We’ve gathered a team of smart, collaborative, and motivated individuals and have created an environment in which they can challenge themselves and reach their full potential.*As our corporate office in Newton, MA and our worldwide offices are rapidly expanding, we are continuously looking to hire dedicated employees who can contribute to our success. Please review our open positions and apply to the positions that match your qualifications.AI Engineer6th Of October, Giza, Egypt Full Time Experienced PaxeraHealth is one of the best and brightest medical solutions companies to work for. We develop technologies that help manage millions of medical images every year. We’re actively involved in shaping the industry and transforming technologies so radiologists and clinicians have what they need. The AI Engineer is responsible for understanding the medical imaging business problems, identifying/applying the right AI or cognitive computing technologies. In addition to being involved in the formulation and execution of technology solutions.RESPONSIBILITIES: Develops required machine learning models or prototype applications, applying formulated AI recipes and verifying the problem/solution fit. Understands the challenges in medical imaging and using state of the art solutions in AI and DL. Participates in building new experiences, improves existing products, ensures quality assurance test designs and contributes to test systems architecture discussions. Works alongside leading innovators in the field of deep learning and health care, plays a critical role in algorithm development. Analyzes and evaluates data and builds deep networks to detect or predict features, while effectively balancing quality, availability, timeliness and cost factors.Job Requirements 2-3 years of AI/ML experience with a degree in a quantitative fields like Computer Science, data science, Engineering or related field required, with a significant focus on deep learning. BA/BS degree in computer science or related discipline is required, MS degree is preferred. Good command of the English language required (spoken and written).REQUIRED SKILLS Strong background in machine learning and parallel processing pipelines, with significant experience in image processing. Experience in working with large datasets and relational databases (SQL) Experience with deep learning frameworks like TensorFlow, Caffe, Torch, Theano; projects on computer vision are a strong plus.* An intuitive sense of how to architect high-performance distributed computing systems for machine learning & tie them to business problems."
27,Mentor Sourcing Specialist - Operation Specialist,udacity,https://www.bayt.com/en/egypt/jobs/mentor-sourcing-specialist-operation-specialist-66264387/,13 days ago,"Udacity is on a mission to change lives, businesses and nations through radical talent transformation in digital technologies.&nbsp; We offer a unique and immersive online learning platform, powering corporate technical training in fields such as Artificial Intelligence, Machine Learning, Data Science, Autonomous Systems, Cloud Computing and more. Our rapidly growing global organization is revolutionizing how the enterprise market bridges the talent shortage and skills gaps during their digital transformation journey. Udacity is proud to be backed by respected investors like Andreessen Horowitz, Charles River Ventures, Bertelsmann and Drive Capital, among other leading VC firms, and provides a powerful and differentiated solution inside of a $32b total addressable market opportunity. Udacity has more than 100 enterprise customers including Airbus, Bertelsmann, BNP Paribas, Leidos, Mazda, and the United States Air Force.&nbsp;Launch Success at UdacityEnsuring students receive great technical support from our Mentors is crucial to student success. In fact, strong mentorship is a core pillar of Udacity’s learning product. As Udacity continues to grow its catalog of Nanodegree programs and tailored learning programs across the globe, we need increasing numbers of technical experts to support students in a variety of ways. To this end, the Mentor Sourcing Team is responsible for sourcing, recruiting and onboarding hundreds of new mentors each year. We are a global team with staff in the US, MENA region, and India.&nbsp;&nbsp;Operations and sourcing - Launch SuccessIn this role,&nbsp;you will help us analyze data of our recruitment, identity and source potential contractors, and onboard External Contractors for various technical mentorship programs in our company. You will be an important part of data collection and review while helping us streamline our processes. Our ideal candidate has excellent written and verbal communication skills and has 1-2 years of experience in operations. This role requires a candidate with excellent interpersonal skills as you’ll often work closely with stakeholders across different departments.&nbsp;Some of the specific responsibilities you’ll own:&nbsp;Process improvement, as well as key factors in assessment formulation.Improve and execute end-to-end candidate hiring processes to ensure each candidate receives a highly positive experience with Udacity. This includes building and cultivating close relationships with key stakeholders to ensure various interviews are organized, coordinated, and consistent.Collaboration cross-functionally with the needs of business partners from other teams such as Content and Customer Success. This includes designing programs and improving existing programs to more accurately forecast needs and reduce turnaround times.Analyze and organize data to track key performance metrics related to recruiting conversion rates, recruiting projections, and more.&nbsp;Skills and Qualifications:Strong written and verbal communication skills.&nbsp;Highly comfortable organizing, manipulating, analyzing and reporting on data in spreadsheets.&nbsp;(Excel)Knowledge of Applicant Tracking Systems such as Greenhouse is a plusProficiency in documenting processes and keeping up with industry trends&nbsp;What we value:High levels of flexibility, initiative, and self-motivationStrong work ethic and commitment to excellenceAffinity for conducting repetitive, ongoing tasksExperience tracking and analyzing case progressExperience using Google Suite (sheets, docs, slides, etc.)Experience implementing detail-oriented systems and processesAn exceptionally high level of attention to detail and experience sorting through large volumes of information to ensure consistency and spot anomaliesStrong writing, grammatical and proofreading skills in EnglishAbility to work independently and proactively, to tight deadlines&nbsp;Learn more about Udacity's Values&nbsp;Students First - Better Together - Entrepreneurial - Data Driven - Candid and Direct - Talent ObsessedUdacity is committed to creating economic empowerment and a more diverse and equitable world. To ensure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, color, religion, sex, gender, gender identity or expression, sexual orientation, marital status, national origin, ancestry, disability, medical condition (including genetic information), age, veteran status or military status, denial of pregnancy disability leave or reasonable accommodation.&nbsp;Udacity's Terms of Use and Privacy Policy"
28,Experienced Cloud Backend Developer,Ericsson,https://www.bayt.com/en/egypt/jobs/experienced-cloud-backend-developer-66298948/,8 days ago,"As the tech firm that created the mobile world, and with more than 54,000 patents to our name, we’ve made it our business to make a mark. When joining our team at Ericsson you are empowered to learn, lead and perform at your best, shaping the future of technology. This is a place where you're welcomed as your own perfectly unique self, and celebrated for the skills, talent, and perspective you bring to the team. Are you in? Come, and be where it begins. About this opportunity We are now looking for an Experienced Cloud Backend Developer to develop State-of-the-art microservices based applications. Your role will include all software development activities related to microservices development. Our focus is on test driven development based on lean and agile ways of working. We are organized in multi-functional multi-domain development teams in which we develop continuous improvement, innovation and knowledge-sharing. What you will do Analyze requirements for cloud-native microservices Drive application design and architecture Design, develop, deploy micro services-based applications into cloud infrastructures Apply test driven development approach Maintain software and support life-cycle-management of microservices & Machine Learning components through CICD Support product & security documentation  You will bring Required 3+ years of experience into Cloud Backend development Deep experience in Python programming Deep understanding and experience in building micro-services-based applications Experience in test driven development and CICD Experience in SQL Alchemy, Alembic, REST, Microservices, Dockers, Kubernetes, SQL Experience in workflow management such as PREFECT/ARGO Experience in Agile software development methodologies Experience in cloud computing platform namely AWS/GCP/Azure, etc, is an add-on Experience with pub/sub systems & ML DevOps is a plus – eg Kafka, RabbitMQ Proactive & team player Excellent oral and written communication skills Excellent problem-solving and troubleshooting skills  What´s in it for you? Here at Ericsson, our culture is built on over a century of courageous decisions. With us, you will no longer be dreaming of what the future holds – you will be redefining it. You won’t develop for the status quo but will build what replaces it. Joining us is a way to move your career in any direction you want; with hundreds of career opportunities in locations all over the world, in a place where co-creation and collaboration are embedded into the walls. You will find yourself in a speak-up environment where empathy and humanness serve as cornerstones for how we work, and where work-life balance is a priority. Welcome to an inclusive, global company where your opportunity to make an impact is endless. What happens once you apply? To prepare yourself for next steps, please explore here: https://www.ericsson.com/en/careers/job-opportunities/hiring-processTo know more about us, please visit: https://www.ericsson.com/en/careers/global-locations/middle-east-africa/ai-cloud-in-egyptEncouraging a diverse and inclusive organization is core to our values at Ericsson, that's why we nurture it in everything we do. We truly believe that by collaborating with people with different experiences we drive innovation, which is essential for our future growth. We encourage people from all backgrounds to apply and realize their full potential as part of our Ericsson team.Ericsson is proud to be an Equal Opportunity and Affirmative Action employer, learn more.Primary country and city:  Egypt (EG)   ||  Egypt : Cairo : Smart Village || Egypt : Cairo : Cairo   Req ID: 696456  "
